keys,en,de,ru
KEY_NAME,English,Deutsch,Русский
KEY_PLAY,Play,Spielen,Играть
KEY_SETTINGS,Settings,Einstellungen,Настройки
KEY_LANGUAGE,Language,Sprache,Язык
KEY_LANGUAGESELECT,Languages,Sprachauswahl,Языки
KEY_BACK,Back,Zurück,Назад
KEY_QUIT,Quit,Beenden,Закрыть
KEY_TEXT,"In the beginning+ God+ created+ the heavens and the earth.+  2 The earth was formless and empty, and there was darkness+ on the surface of the watery deep,+ and the active power of God was hovering+ over the surface of the waters.+  3 And God said,+ “Let there be light.”  And there was light.+  4 God saw that the light was good, and God separated the light from the darkness.+  5 God has called the light Day,+ And the darkness Night.+  And there was evening and there was morning, the first day.  6 And God said: “Let there be a space+ between the waters, and let the waters be separated from the waters.”+  7 Then God created the expanse and separated the waters under the expanse from the waters above the expanse.+  And it became so.  8 God has called the space Heaven.+  And there was evening and there was morning, the second day.  9 And God said: “Let the waters under the heavens be gathered into one place, and let the dry land appear.”+  And it became so.  10 God called the dry land Earth+ And the collected waters he called Seas.+  And God saw that it was good.+  11 Then God said, “Let the earth bring forth grass, plants yielding seeds+, fruit-trees bearing fruits+ according to their kind,+ with seeds+—so be it on the earth.”  And it became so.  12 The earth has brought forth grass, plants bearing seeds according to their kind,+ And trees bearing fruit with seeds according to their kind.+  And God saw that it was good.  13 And there was evening and there was morning, the third day.","Am Anfang erschuf Gott Himmel und Erde.+ 2  Die Erde nun war formlos und öde*. Über dem tiefen* Wasser+ war Dunkelheit und Gottes aktive Kraft*+ bewegte sich über der Wasseroberfläche+ hin und her. 3  Gott sagte: „Es soll Licht erscheinen.“ Da erschien Licht.+ 4  Danach sah Gott, dass das Licht gut war, und er begann das Licht von der Dunkelheit zu trennen. 5  Gott nannte das Licht Tag, die Dunkelheit aber nannte er Nacht.+ Es wurde Abend und es wurde Morgen: der erste Tag. 6  Weiter sagte Gott: „Zwischen dem Wasser soll eine Ausdehnung+ entstehen und das Wasser soll getrennt werden.“+ 7  Da machte Gott die Ausdehnung und trennte das Wasser unterhalb der Ausdehnung von dem Wasser oberhalb der Ausdehnung.+ Und so geschah es. 8  Gott nannte die Ausdehnung Himmel. Es wurde Abend und es wurde Morgen: der zweite Tag. 9  Weiter sagte Gott: „Das Wasser unter dem Himmel soll sich an einem Ort sammeln und das trockene Land soll erscheinen.“+ Und so geschah es. 10  Gott nannte das trockene Land Erde,+ die Wasseransammlungen aber nannte er Meere.+ Und Gott sah, dass es gut war.+ 11  Dann sagte Gott: „Auf der Erde soll Gras wachsen. Es sollen Pflanzen und Bäume nach ihren Arten wachsen mit Samen und Samen tragenden Früchten.“ Und so geschah es. 12  Die Erde brachte Gras hervor, Samen tragende Pflanzen+ und Bäume, die Früchte mit Samen trugen — nach ihren Arten. Dann sah Gott, dass es gut war. 13  Es wurde Abend und es wurde Morgen: der dritte Tag. ","В начале+ Бог+ сотворил+ небо и землю+. 2 Земля была бесформенна и пуста, и тьма+ была над водной бездной+, и действующая сила Бога парила+ над поверхностью воды+. 3  И Бог сказал+: «Да будет свет».  И был свет+. 4 Бог увидел, что свет хорош, и отделил Бог свет от тьмы+. 5 Бог назвал свет днем+, а тьму ночью+. И был вечер, и было утро,  первый день.  6 И сказал Бог: «Пусть будет пространство+ между водами, и пусть воды отделятся от вод»+. 7 Затем Бог создал пространство и отделил воду под пространством от воды над пространством+.  стало так.  8 Бог назвал это пространство Небесами+. И был вечер, и было утро, день второй.  9 И сказал Бог: «Да соберётся вода под небом в одно место, и да явится суша»+. Так и стало.  10 Бог назвал сушу землей+, а собранные воды — морями+. И увидел Бог, что это хорошо+.  доброе+, с семенами+ — да будет так на земле».  Так и стало.  12 Земля произвела траву, растения, приносящие семена по роду их+, и деревья, приносящие плоды с семенами по роду их+. И увидел Бог, что это хорошо.  13 И был вечер, и было утро: день третий."
KEY_PLAY_VIDEO,Play video,Video abspielen,Воспроизвести видео
KEY_PLACEHOLDER,Placeholder:,Platzhalter:,Заполнитель:
KEY_VALUE,Value:,Wert:,Ценность:
KEY_APPLY,Apply,Anwenden,Применить
KEY_PLACEHOLDER_NAME,My name is {{NAME}}.,Mein Name ist {{NAME}}.,Меня зовут {{NAME}}.
KEY_PLACEHOLDER_AGE,I'm {{OLD}}  years old.,Ich bin {{OLD}} Jahre alt.,Мне {{OLD}} лет.
KEY_PLACEHOLDER_NAME_AGE,"My name is {{NAME}}, and I'm {{OLD}}  years old.",Mein Name ist {{NAME}} und ich bin {{OLD}} Jahre alt.,Меня зовут {{NAME}} и мне {{OLD}} лет.
